Question,GPT-4o_Answer,Actual_Answer,Score
"Kíni ""Addiction"" ní Yorùbá?",Ìwà àṣà jọwọ.,Bárakú,0
Kíni 'formal letter' àti 'informal letter' ní Yorùbá,'Lẹ́tà àìsíká' ni 'formal letter' àti 'lẹ́tà àbẹ̀ẹ́síká' ni 'informal letter' ní Yorùbá.,"Lẹ́tà Gbẹ̀fẹ́ - Informal
 Lẹ́tà Àìgbẹ̀fẹ́ - Formal",0
"Kíni ""Fiancee"" ní Yorùbá?",Iyàwó ìfé.,Àfẹ́sọ́nà,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eja n bakan""","Àkànlò-èdè ""Eja n bakan"" túmọ̀ sí pé ẹnikan n gbiyanju ọ̀nà tuntun tàbí n yà òde tuntun.",Látì fi mọ̀ bóyá ǹkan tí a lérò ló bọ́ sí tàbí ìdàkejì,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ikalaya""","Ikalaya túmọ̀ sí ""majesty"" tàbí ìjọba alágbára.",Ohun tó kọjá agbára,0
"Kíni ""Ass"" ní Yorùbá?","""Ass"" ní Yorùbá ni ""Ìbílẹ̀.""",Kẹ́tẹ́kẹ́tẹ́,0
"Kíni ""Bat"" ní Yorùbá?",Adáńdáń.,Àdán,0
"Parí òwe yìí.
 Eni yá ẹ̀gbẹ̀fà tí ò san",Óle.,Ó ti gbẹ́gi dínà egbèje,0
"""Ọjọ wo, oṣù wo ni a dá Ìpínlẹ̀ Òndó.""","Ìpínlẹ̀ Òndó ni a dá sílé ní ọjọ́ kẹtadinlogun, osù kẹwàá, ọdún 1976.","Ọjọ́ Kẹta, Oṣù Èrèlé (03/02)",0
"Kíni ""Entrepreneurship"" ní Yorùbá?",Àtẹ̀wọ́jẹ́ṣẹ́.,Ìṣòwò,0
"Kíni ""Job Interview"" ní Yorùbá?",Ìfòròwàmbẹ ìjoba.,Ìfọ̀rọ̀wánilẹ́nuwò fún iṣẹ́,0
"Kíni ""Screen"" ní Yorùbá?","""Párọ̀ṣí"" tàbí ""Ẹ̀kànsí"".",Atẹ agbàwòrántàn,0
"Kíni ""Insurance"" ní Yorùbá?",Àtilẹ́yìn ìkòkò.,Adójútòfò,0
"""Parí òwe yìí.
 Igi gògóró má gún mí lójú...""",Kí èmi máa pa látọ̀run.,Àtòkèèrè làti lọ́,0
"Kíni ""Shares"" ní Yorùbá?","""Ìpín.""",Ìpín okòwò,0
Ta ló kọ ewì “Ìṣẹ̀ l’ògún Ìṣẹ̀” àti ní ọdún wo?,Kó láṣà ọfà rẹ ti? Ewì “Ìṣẹ̀ l’ògún Ìṣẹ̀” kọ́ l’áti inú èdè yànjún-bànjé gbà àbá 1866. Maṣe ṣẹẹ tàbí gbẹrún pípẹ̀!,J.F. Ọdúnjọ - 1950,0
"Kíni ìtumọ̀ “The fall of Naira, the rise of entrepreneur” ní Yorùbá?","Ìkùnà Nàírà, Àtètílẹ̀yìn Onítàtà.","Ìṣúbù Nàírà, ìgbésókè àwọn oníṣòwò",0
"Parí òwe Yorùbá yìí
 Títa rírò là ń kòlà...","Títa rírò là ń kòlà, títí títí là ń yèèkà.",Tó bá jiná tán á doge,0
Tani Gómìnà alágbádá àkọ́̀kọ́ ní Ìpínlẹ̀ Òndó?,Gómìnà alágbádá àkọ́̀kọ́ ní Ìpínlẹ̀ Òndó ni Michael Adekunle Ajasin.,Olóyè Michael Adékúnlé Ajáṣin,0
"""Aláké"" is to Ègbá, what is the title of the king in ""Oshòdì town"" of Lagos State?",Baálé Ọ̀shódì.,Kòsọ́ba lóṣhòdì,0
"Kíni ""Private Company"" ní Yorùbá?",Ilé-ẹgbẹ aládàani.,Ilé-iṣé aládàni,0
"Kíni ""Mentor"" ní Yorùbá?",Òjísè.,Àwòkọ́se,0
What is the meaning of this ancient word 'Nínú ẹ̀gbin ni ọlá ń gbé'?,'Treasure resides in filth.',"Tí ènìyàn bá fẹ́ ní ọlà, ó gbùdọ̀ ṣe ohun tí yíò mú ohun ìwòsí tàbí ìdọ̀tí báa",0
Kíni ìtumọ̀ ọ̀rò yìí 'ìwọfà'?,Ìwọfà túmọ̀ sí ẹni tí ń ṣiṣẹ́ lábẹ́ iṣẹ́ pọ́n dórí.,Ẹrú,0
Kíni 'àdìrò' túmò sí?,Àdìrò túmò sí 'kíkọlè'.,Orí ibi tí a ti máa ń dáná,0
Kíni 'ídán' túmò sí ní èdè Yorùbá?,'Ídán' túmò sí 'magic' tàbí 'sorcery' ní èdè Yorùbá.,Ohun tí a ṣe tí ó ṣe ènìyàn ní kàyéfì,0
Kíni ìgìrìpá/gìrìpá túmò sí? Njẹ́ o le ṣàlàyé?,Ìgìrìpá/gìrìpá túmọ̀ sí ìtẹ́kùn àìníṣìkan tàbí ìdààmú ọpọlọ tó fìdí múlẹ̀.,Àwọn tó ga,0
"Kíni ""Crab"" ní Yorùbá?","""Crab"" ní Yorùbá ń jẹ ""àbàlàyà.""",Akàn,0
Kíni à ń pè ní 'òtítà'?,À ń pè ní 'òtítà' nígbàtí ohun kan bá jẹ́ gidi tàbí ṣẹ̀ṣẹ́.,Àpótí,0
"Kíni ""pig"" ní Yorùbá?",Ìgbínrin.,Ẹlẹ́dẹ̀,0
"Kíni ""pot"" ní Yorùbá?",Ikòkò.,Ìkòkò ìdáná,0
"Kíni ""fox"" ní Yorùbá?","""Fox"" ní Yorùbá ni ""kútì.""",Kọ̀lọ̀kọ̀lọ̀(Ajá igbo),0
"Kíni ""sheep"" ní Yorùbá?",Àgùntàn.,Àgùntàn,0
"Kíni ""House of representatives"" ní Yorùbá?",Ilé Àṣòfin aṣojú-ọ̀jọ̀.,Ilé ìgbìmọ aṣójúṣòfin,0
"Sàlàyé òwe yì: 
 Ènì rúbọ òrìṣà á gbọ́dọ̀ rú ti èèyàn kí ẹbọ ó tó gbà","Itúmọ̀ òwe yìí ni pé bí ẹni ṣe ń ṣe ohun ìbàjẹ́, ó yẹ kí ó ṣètìjú tabi ṣe àwọn ohun to tọ̀ tẹ́lẹ̀ kí ẹbọ náà lè ní àseyori.",Irú ẹni bẹ́ẹ̀ gbúdọ̀ tẹ́ àwọn ènìyàn ní àyíká rẹ̀ lọ́rùn,0
"Parí òwe yìí:
 'Àjọ kìí dùn...'",kó máa níyà ń béè.,Kódídẹ́ má rèwò,0
"Parí òwe yìí:
 Ènì tí yóò mu ẹkọ́ fòró..",Àrẹ nù.,,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Feraku""?","""Feraku"" túmọ̀ sí ẹni tí kò rántí ẹnikẹ́ni mọ́ tàbí ẹni tí kò ṣe fojú inú ràn wàá.",Lóyún,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Terigbaso""?","Ìtumọ̀ àkànlò-èdè ""Terigbaso"" ni pé ohun kan ti ṣubú tabi já.",Ṣe aláìsí,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fakoyo""?","Àkànlò-èdè ""Fakoyo"" túmọ̀ sí pé kí ẹnikan fòwó kan nǹkan tó fẹ́ gbé ṣòfò tàbí tó yẹ̀ wò fún àwọn arójinlèẹ̀ tàbí àwọn àwọn àṣekágorò.",Ṣe dáradára,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi oju oloore gungi""?","Àkànlò-èdè ""Fi oju oloore gungi"" túmọ̀ sí pé kí ẹni kàn gba nkan kan tàbí ṣe ifarabalẹ̀ sí nkan lẹ́ni kan nílò láìsànìyàn nítorí àánú tàbí rẹ̀fẹ̀.",Aláìmoore,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi imu danrin""?","""Fi imu danrin"" túmọ̀ sí láti jẹ́ kí ẹjọ́ kọjá lérò, tàbí láti jẹ́ kí ohun kan kọjá bí ẹni pé kò ṣe pàtàkì.",Fìyà jẹ ènìyàn,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbonu""?","""Àkóso"" tàbí ""agbára.""",Jẹ iyàn(argue),0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Runparunse""?","""Runparunse"" túmọ̀ sí àrùn tí ń tan kàkàkí tàbí ẹ̀ṣọ àkànṣe.",Fi gbogbo agbára ṣe ǹkan,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Pa eniyan bi ejo aije""?","Àkànlò-èdè yìí túmọ̀ sí pé kí ẹni kan pa ènìyàn lọ́wọ́ lọ́nà tí kò dára tàbí tí kò jẹ́ kó dáa, nípa arekereke.",Lu ènìyàn ní ìlùkulù,0
"Kíni ""field"" ní Yorùbá?",Ilẹ̀ oòrùn.,Pápá,0
"Kíni ""Giraffe"" ní Yorùbá?","""Giraffe"" ní Yorùbá ni ""Agbooro"".",Àgùnfọn,0
"Kíni ""Permanent voter's card"" ní Yorùbá?",Kàdì ajáfikún ìdíbo.,Ìwé ìdìbò alálòpẹ́,0
"Sàlàyé òwe yì: 
 Àjèsílẹ̀ gbèsè tí ò jẹ́ kí ẹ̀gbẹ̀fà tóó ná.",Ó wí pé ẹni tí kò ni gbèsè tàbí ojú ẹsẹ kò ni àwọn ìṣòro tó pò tí kò le wò kí ó máà ní àlàáfíà tàbí túbọ̀.<|vq_2837|>,"Tí ènìyàn báti jẹ gbèsè sílẹ̀, owó tí ẹni náà bá rí kò ní too ná títí dìgbà tó bá ti san gbèsè rẹ̀ tán",0
"Parí òwe yìí:
 Èbìtì kò pa èèrà...",a ń pa ímú pamí.,,0
Tí wọ́n bá sọ pé èèyàn wà 'bias' kí ló túmò sí?,Túmò̀ sí pé ẹni náà ni ìwọ̀n ara tàbí àkóyinjẹ sí ọ̀nà kan tàbí ẹni kan.,Ojú-ìsájú,0
Oṣù wo ni à ń pè ní 'Bèlú'?,"Oṣù Kẹrin, ẹ̀rẹ̀nà.",Oṣù kọ́kọ̀nlá,0
Kí ni orúkọ tí a ń fún ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn?,"Ní èdè Yorùbá, a máa ń pe ọmọbìnrin tí a bí tí ó gbé òlùbí kòrùn ní ""Ìyánfẹ́"" tàbí ""Ìyàwó Ẹ̀bí Ọba"".",Àìná,0
Fi àmín sí orọ̀ yìí “Akanlo ede”,“Àkànló̩ èdè” ni orò̩ wọn tó rọrùn láti ló̩ lo̩ sùgbón a kò le fi ìtumọ̀ wọn gbé kalẹ̀ ní kedere.,Àkànlò èdè,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Figagbaga""?","""Figagbaga"" túmọ̀ sí ìjàkàdì tàbí ìjàfara bíi olórin tó ń figagbaga fún bí wọ́n ṣe máa gbé orúkọ rẹ ga.",Ìdíje,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Erinwo""?","""Erinwo"" túmọ̀ sí ẹrín títí tó fi ṣí gbogbo eyín hàn.",Ṣe aláìsí,0
"Kíni ""Advertisement"" ní Yorùbá?",Ìpolówó,Ìpolówó,0
Why do they say 'dágunrò' is inedible'?,'Dágunrò' is said to be inedible because it is traditionally believed to be a cursed or taboo food in Yoruba culture.,Dágunró ní ègún,0
Orúkọ wo ni wọ́n fún ọmọ tí a bí tí kò ke?,"Wón máa ń pè orúkọ ọmọ bíi ""Ajé"" tàbí ""Awóní"" fún ọmọ tí a bí tí kò ke.",Òní,0
"If potters are called 'amọ̀kòkò, calabash designers are called what?",Ará ọ̀pọ́n.,Afíngbá,0
"Deji ni oba ilu akure, kini won n pe, oba ilu ijebu",Oba ilu Ijebu ni Awujale.,Àwùjalẹ̀,0
"Kíni ""Duplicate"" ní Yorùbá?","Ó túmọ̀ sí ""Ẹ̀dà méjì"" tàbí ""Ḕjìrè"" ní Yorùbá.",Ẹ̀dà,0
"Kíni ""Earth worm"" ní Yorùbá?",Alámo.,Ekòló,0
"Kíni ""Scissors"" ní Yorùbá?","""Scissors"" ní Yorùbá túmọ̀ sí ""Àdáwọ́"".",àlùmógàjì,0
"Kíni ""Brewery"" ní Yorùbá?",Ilé ìṣẹ̀ ìṣàlàbá.,Ilé-iṣẹ́ ìpo-ọtí,0
"Kíni ""Cricket"" ní Yorùbá?","""Cricket"" ní Yorùbá ni ""Kiriketi.""",Ìrẹ̀,0
"Kíni ""Ram"" ní Yorùbá?",Àgbò.,Àgbò,0
"""Parí òwe yìí:
 Èbì tí kò pa èèrà""","""Kí ń pa ọ̀mọ aráyé.""","Èbìtì ò pa èèrà, ará ilé ẹni níí ṣe ni",0
"Kini itumo owe yi:
 Ènì tó ma ń tẹ òkú òpòló, yí ò ní ilé Ogbóni tirẹ̀ lọ́tọ̀","Owe yi túmọ̀ si pé ẹni tó máa ń fara kàn sí àwọn ọlọ́gbọ́n tàbí tí ń tètè gbé ohun tí wọ́n bá sọ nílò, yóò ṣẹ́ṣẹ̀ ní ọgbọ́n tirẹ̀ nígbà kan.",,0
"""Parí òwe yìí:
 Eni ti ko mo ise je...",ni iranju ounje.,,0
"""Parí òwe yìí:
 Sekeseke dara...",ti ọkọ ẹyẹ.,Ṣùgbón alágbẹ̀dẹ ò rọ́ fún ọmọ rẹ̀,0
Awon wo ni won maa n pe ni Ajayi,"Ẹnikẹni ti o n gbọ́n, o maa n ṣàbí èdá àti gbogbo àwọn nnkan rẹ̀.",Ọmọ tí a bí tó dojúbolẹ̀,0
"Kíni ""Buffalo"" ní Yorùbá?","""Bùbú"" ni.",Efọ̀n,0
"Kíni ""Scorpion"" ní Yorùbá?","""Apaniyan"" ni Yorùbá.",àkekèé,0
"Kíni ""Bracelet"" ní Yorùbá?",Bàbàlàwo ọwọ́.,Ẹ̀gbà-owo,0
"Kíni ""Description"" ní Yorùbá?",Àwọn àpejuwe.,Àpèjúwe,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""gbin èpà sí oko ikún""?","Àkànlò-èdè ""gbin èpà sí oko ikún"" túmọ̀ sí fí ohunkóhun sínú ibi tí kò yẹ tàbí ibi tí kò ní jàde tó oṣe.",Ṣíṣe àṣedànù,0
"""Parí òwe yìí:
 Ore n jore...",arọ.,"Ọrà ń jọ́rà, a kìí dúpé mo tọ̀pọ̀",0
"""Kini itumo owe yi:
 A kii je okele lori okele, a kii fina sori orule sun""",Itumo owe yi ni pe a kii fi ona abayo meji yanju isoro kenikan.,"Kí ènìyàn ṣe ohungbogbo ní ìwọ̀ntúnwọ̀nsì, nítorí tí a kò bá ṣe béè, ó lè fa ìjàm̀bá",0
"Kíni ""66 thousand naira"" ní Yorùbá?",Ẹgbẹta ààborin naira.,Ẹgbẹ̀rùn lọ́nà mérìndínláàdórin náírà,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""farasoko""?","Àkànlò-èdè ""farasoko"" túmọ̀ sí pé ẹni kan ti wà nínú ìṣòro tàbí ìpẹ̀nsọ́n.",Sápamó,0
"Parí òwe yìí.
 Ènì yá ẹ̀gbẹ̀fà tí ò san",ẹ̀kùrù.,Ó bégi dínà egbèje,0
"Kíni ""Wolf"" ní Yorùbá?",Ìkòkò ọdẹ.,Ìkokò,0
"Kíni ""Investment"" ní Yorùbá?",Idokoowo.,Ìdókòwò,0
"Kíni ""Trade fair"" ní Yorùbá?","""Ìkòwèwò gbòógì.""",Ìpàtẹ Ìdókòwò,0
"Kíni ""Calculator"" ní Yorùbá?",Kòmpútà tó ń kà.,Ẹ̀rọ ìṣírò,0
"Kíni ""Internet banking"" ní Yorùbá?",Ìṣírò owó ní àgbáyé ayélujára.,Ìfowópamọ́ orí ayélujára,0
"Kíni ""Rainbow"" ní Yorùbá?","Rainbow tumọ̀ sí ""òjòjólá"" ní Yorùbá.",Òṣùmàrè,0
"Pari owe yi:
 Bí oníṣé bá ń jèrè iṣẹ..",Ẹlẹ́ni àlejò ń jèrè ilé.,Ọ̀lẹ á máa jèrè ìmẹ́lẹ́,0
"Kíni ""Blade"" ní Yorùbá?","""Èékánná"" ni.",Abẹfẹ́lẹ́,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eku Itadi""?","""Eku Itadi"" kì í ṣe àkànlò-èdè tí ó wọ́pọ̀ tàbí tí ó ní ìtumọ̀ tó yé kó túmọ̀ sí. Ó lè jẹ́ kíkan tàbí ṣeéṣe mímọ̀ nínú àwùjọ àti àṣà yàtọ̀, ṣùgbọ́n kò jẹ́ àkànlò-èdè tó mọ́ ní gbòó.",Kí ènìyàn só,0
"Kíni ""Royal Bead Makers"" ní Yorùbá?","""Adéjọ Olówó Pípé"" ni ""Royal Bead Makers"" ní Yorùbá.",Asíndẹmádé,0
"Kíni ""Graduation"" ní Yorùbá?",Ìpéjádò.,Ikékòógboyè,0
"Kíni ""Chimpanzee"" ní Yorùbá?",Èdí.,Ìjímèrè,0
"Kíni ""500 thousand"" ní Yorùbá?",Ìgbẹ̀ta ó lé ni ẹ̀dẹ́gbẹ̀rin.,Ẹgbẹ̀rún lọ́nà ẹ̀ẹ́dẹ́gbẹ̀ta,0
"Kíni ""Camping"" ní Yorùbá?",Ìgbárájọ.,Ìpàgọ́,0
"Kíni ""Bargain"" ní Yorùbá?","""Bargain"" ní Yorùbá túmọ̀ sí ""ìdààmú"" tàbí ""owó kesán.""",Ìdúnádúrà,0
"Kíni ""Translator"" ní Yorùbá?",Olùtumọ̀.,Ògbufọ̀,0
"Kíni ""Trap"" ní Yorùbá?","""Èyè"" tàbí ""ìtà.""",Èbìtì,0
"Kíni ""700"" ní Yorùbá?",Èjìléta.,Ẹ̀ẹ́dẹ́gbẹ̀rin,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? 
 A ń sájú ẹlẹẹdẹdé pẹẹdé",Àkànlò-èdè náà túmọ̀ sí pé ẹni náà ti ń parí ìṣe kan ṣáájú kìkà bó ṣe yé kí ara ó rò dé oún tí ó yé kí ó kọ́kọ̀ ṣe.,A máa fí ń sọfún ènìyàn tí ó ń bẹ́,0
Dárúkọ tí Yorùbá n pe àwọn ìka ọwọ wa márààrún,"Ìká, àká, ará òkè, ará ìlà, àti àtẹ́lẹwọ́.","Kúrúmbète, òrùka yémí, óga juwónlọ, odùnńlábẹ̀, àtànpàkò.",0
"Parí òwe Yorùbá yìí
 Sin mí ká re ilé àna o wọ ẹwù etù …,",ẹwù òsì.,kíni kí ọkọ ìyàwó wọ̀,0
"Kíni ""deer"" ní Yorùbá?",Ẹgbẹ́.,Àgbọ̀nrín,0
"Kíni ""fountain"" ní Yorùbá?","""Orísun"" ni ""fountain"" ní Yorùbá.",Orísun,0
"Kíni ""fine"" ní Yorùbá?","""Ẹwà"" tàbí ""lẹwa.""",Owó ìtánràn,0
"Eré Orí igi àşekù ọmọ ẹdun, kíní yorùbá n pè ní 'ẹdun'?",Ẹdun ni yorùbá n pè ní 'monkey'.,Ọ̀bọ,0
"Yorùbá bò wọ́n ní… Pánsá ò funra pánsá já, àjà ò funra àjà jìn… kí ní pánsá?",Ṣíṣé pípé tàbí iṣẹ́ kan tó gbẹ́yìn.,"Pánsá (attics)
 Bí onílé ò bá funra, olè á ko",0
Ka eje orile-ede Naijiria ni ede Yoruba,Ka eje orile-ede Naijiria ni ede Yoruba yoo je 'Green White Green'.,"Mo ṣe ìlérí fún Orílẹ̀-Èdè mi Nàìjíríà, 
 Láti jẹ́ olódòdo, ẹnití ó ṣeé f'okàn tán 
 Àti olótitọ́ ènìyàn 
 Láti sìn ín pẹ̀lu gbogbo agbára mi, 
 Làti sa ipá mi gbogbo fún ìṣọ̀kan rẹ̀ 
 Àti láti gbé e ga fún iyì àti ògo rẹ̀. 
 Kí Ọlọ́run ràn mí l'ọ́wọ́",0
"Kíni ""93"" ní Yorùbá?",Àádọ́ta ní lélè etí kan.,Mẹ́tàléláàdọ́rún,0
Kíni Yorùbá n pe border?,Aala.,Àlà,0
"Kíni ""favorite"" ní Yorùbá?",Ayanfẹ.,Ààyò,0
"""Pari owe yi:
 Ohun tí ajá rí tí ó ń gbó…""","""eré ńkan.""",kò tó èyí tí àgùtàn fi ń ṣe ìran wò,0
"Parí òwe Yorùbá yìí
 ògèdè dúdú kò sè bùṣọn…",ọmọ adá ni.,Ọmọ burúkú ò ṣe lù pa,0
"Parí òwe Yorùbá yìí
 Enu ai menu, ete ai mete...","eni ai soro, ko gbodo bu enu je.",níí mú ọ̀ràn bá ẹ̀rẹ̀kẹ́,0
"Kini ọ̀rọ̀ Yorùbá fun ""Comb"" tí ó wà lórí akùkọ adìyẹ",Igi orí.,Igbe,0
"Kíni ""Certificate"" ní Yorùbá?",Ijẹrisi.,Ìwé ẹ̀rí,0
"Kíni ""web"" ní Yorùbá?","""Web"" ní Yorùbá jẹ́ ""ọ̀wọ́ àlàbápàdé"" tàbí ""àwòrán àlàbápàdé"".",Ìtàkùn,0
Yàtọ̀ sí ayékòótò kíni Yorùbá tún má ń pe 'parrot'?,"Ayékòótò ni Yorùbá tún n pe ni ""papaga.""",Odídẹrẹ́,0
"Kíni ""ditch"" ní Yorùbá?","""Ogbun.""",Kòtò,0
Tani ọba àkọ́kọ́ tí a kọ́kọ́ kì ní kábíyèsí ní ilè Yorùbá,Alaafin Ọranmiyan.,Aláàfin Sàngó,0
Àwọn wo ni Yorùbá ń pè ní 'màjẹsín,"Àwọn Yorùbá ń pè àwọn òṣìṣẹ́ ilé-ìwòsàn, amọ̀tẹ́runwá, tàbí nurse ní 'màjẹsín'.",Àwọn ọmọdé,0
"Kíni ""South-West"" ní Yorùbá?",Àríwá-Guúsù.,Gúúsù-Ìwọ-oòrùn,0
Kíni Yorùbá ń pe 'flamingo'?,Aṣáàlẹyé.,Ẹyẹ-omi,0
Kíni Yorùbá ń pe 'squat'?,Wọ̀lì.,Lóòṣó,0
"Parí òwe Yorùbá yìí
 Ajogún Ifá tó ní òun kò ní kú mọ …",... ikú ń pa lójú àgbà.,Ẹni tó tefá gan dàà,0
"Kíni ""North"" ní Yorùbá?",Àríwá.,Àríwá,0
Tí Yorùbá bání ẹ̀ẹ̀yàn 'pẹ̀ ọ̀rọ̀ sọ'. Kí ló tún mò sí?,Wí pé ẹ̀ẹ̀yàn máa ń sọrọ púpọ̀ tàbí kàkàbí.,Kòfẹ́ fi gbogbo ẹnu sọ̀rọ̀,0
"Kíni ""Education Manager"" ní Yorùbá?",Olùdarí Ẹ̀kọ́.,Ìṣàkóso Ẹ̀kọ́,0
"Kíni ""Guinea worm"" ní Yorùbá?",Aràn erin.,Sòbìà,0
Àwọn wo ni Yorùbá ń pè ní 'ọjẹ',"Yorùbá ń pè àwọn jankulẹtà, ẹni tí kò ní ìtẹ́lọ́rùn, tàbí aláìmòràn ní 'ọjẹ'.",Eléégún,0
"Parí òwe Yorùbá yìí
 Òṣùpá là a ní kò gún...",Kí ojú orun ún tọ́.,"Ẹni tọ́wọ́ ẹ̀ bá to, kó lo tun ṣe",0
Ìlú wo ni wón ti ń bí 'Ìbejì' jùlọ ní ilè Yorùbá,Ìlú Ìbàdàn ni wón ti ń bí 'Ìbejì' jùlọ ní ilè Yorùbá.,Igbó-ọrà,0
"Kíni ""Relationship"" ní Yorùbá?",Ìbáṣepọ̀.,Ìbáṣepọ̀,0
"Kíni ""Pretence"" ní Yorùbá?",Ìtanrànjè.,Ìdíbọ́n,0
"""Kínì ìtumọ̀ àkànlò-èdè yìí? 
 Te nkan nidi""",Àkànlò-èdè náà túmọ̀ sí pé kí ẹni kan yé àwọn ìgbèríko nípa rẹ̀.,Lílo ọgbọ́n àlùmọ̀kọ́rọ́yí láti fi kó ọrọ̀ jọ,0
"""Kíni àkọ́lé orúkọ ọba Ijesha?""","""Ọwá Ọbókùn.""",Ọwá,0
"Parí òwe Yorùbá yìí
 Àjánàkú kọjáa mo rí nkan firí",iná mó rí nkan fí rí nìkan.,Tí a bá rérin ká sọpé a rérin,0
"Kíni ""Debate"" ní Yorùbá?",Ọ̀rọ̀jàmbá.,Ìtàkùọ̀rọ̀so,0
Kíni ìyàtọ̀ láàrin ìtòsí ati ìjọsí?,"Ìtòsí ní ìtumọ̀ rẹ̀ nǹkan tó wà nítòsí tàbí nítòlẹ̀ré, ìjọsí sì ń tọ́ka sí ìfaradà tàbí bí ẹni bá ń bẹ nípasẹ̀ nǹkan kan.","Ìtòsí -–Súnmọ́
 Ìjọ́sí -–Jìnà",0
Kíni ìyàtọ̀ láàárín ìpààrọ̀ àti ìyípadà?,"Ìpààrọ̀ ń ṣe ìtọ́kasí sí ayípadà ẹ̀yà kan pẹ̀lú ẹ̀yà mìíràn, nígbà tí ìyípadà jẹ́ ayípadà nínú ìṣẹ̀lẹ̀ tàbí ìwà láti ṣe tàbí lẹ̀hìn ìṣe kan.","Ìpààrọ̀ - Replace
 Yípadà - Change",0
"Kíni ""Protest"" ní Yorùbá?","""Wíwàdíyẹ̀"" ni Yorùbá.",Ìfẹ́ónúhàn,0
"Kíni ""National Assembly"" ní Yorùbá?",Àpapọ̀ Ìlú Tíwàádà.,Ìgbìmọ̀ aṣòfin àgbà,0
"Kíni ""Canopy"" ní Yorùbá?",Téntì.,Àtíbàbà,0
Àwọn ọmọ wo ni Yorùbá ń pè ní 'Kòsọkọ' àti pé kíni ìdí tí a fi ń pè wọn bẹ?,"Àwọn ọmọ tí a bí lẹ́yìn ikú tàbí ìgbẹ́gbẹ́ ayé ní Yorùbá ni a ń pè ní 'Kòsọkọ'. Idi ni pé a máa ń gbà pé ìyá wọn jẹ àkọ́bí to ti nìwájú̀ ṣùgbọ́n ti o ti kú láìláàí ìdájú pé àwọn ọmọ tuntun yóò kú. Kìí se pé kí wọ́n fààrayàn kú, bí ẹyà tó ń ṣe ilé ayé àtún yí.","Àbíkú ọmọ ni wọ́n ń pè ní Kòsọ́kọ́
 A máa ń pe wọ́n bẹ́ẹ̀ nítorípé ọkọ́ ni a máa fi ń wa ilẹ̀ látìi fi sin òkú",0
Tí Yorùbá bá sọpé Igi imú jìná sórí... kíni wọn ń gbìyànjú láti sọ pẹ̀lú àpẹrẹ,Wọ́n ń gbìyànjú láti sọ pé ẹni náà ń ṣe ara rẹ ní gbọngbọ̀n nígbà tí kò ṣe pàtàkì tàbí ṣèyìn nísinsìnyí.,Kí ènìyàn kan ju ẹnìkéjì lọ,0
"Kíni Yorùbá ń pè ní mọ̀gúdú?""","Yorùbá ń pè ""Asun"" ní mọ̀gúdú.",Ìkokò tó tóbi (A big wolf),0
"Parí òwe Yorùbá yìí ""bí èbù ò rà...""","""Bí èbù ò rà, ìjà ni yóó dà.""",A ò lè rí ègbodò,0
"Parí òwe Yorùbá yìí
 Bí abá sọrọ tán ẹrín làá rín...","Bí abá sọrọ tán ẹrín làá rín, bí a bá jẹun tán ìtùnú làá ní.","bí a bá yó tán, orun níí kun ni",0
"Yàtọ sí ádùrá kíni Yorùbá n
 pè ádùrá àti àmín""?","Yorùbá n pè ádùrá ní ""àdúrà"" àti ""àmín"" ni ""ámin.""","Àdúrà -–Ìwúre
 Àmín -–Àṣẹ",0
"Kíni ""North-East"" ní Yorùbá?",Àríwá ìlà-oòrùn.,Àrìwá-Ìlà-oòrùn,0
Kíni àkólé orúkọ ọba ìlú Ijebu-Igbo?,Ọba Aláàjé.,Orímolúsì,0
"Kíni ""Train station"" ní Yorùbá?","""Ìbúgbọ̀ọ̀sèlú"" ni ""Train station"" ní Yorùbá.",Ibùdó ọkọ̀ ojú irin,0
"Kíni ""Barn"" ní Yorùbá?",Ìtàlùpẹ̀.,Aká,0
Ìlú wo ni ile yorùbá ni wón ti sę odún ojude oba,Ìlú Ijẹ̀bú Òde ni ilẹ̀ Yorùbá ni wọ́n ti ṣe Òdún Òjúdé Ọba.,Ìjẹ̀bú-òde,0
"Kíni ""Genuine"" ní Yorùbá?","""Genuine"" jẹ́ ""Májẹ̀mú"" ní Yorùbá.",Ojúlówó,0
