S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5,GPT4o_Answer,GPT_Match,Score (%)
182,"Òwe Yorùbá kan ní Ijapa wọnú orù, ó ku àtiyọ 
 Kíni Yorùbá n pè ní 'orù'?",option_1,,Ìkòkò,Àpótí,Ìgò,Àgọ́,Àwo,please provide the specific question you would like me to analyze and determine the best answer for,0,20.208333333333332
183,"Kíni Yorùbá n pè èranko yìí ""Skink""?",option_4,,Ìjàpá,Ọ̀bọ,Ẹkùn,Aláyùnbẹ́rẹ́,Àdán,option_4,1,20.208333333333332
184,Kíni Yorùbá n pè ní 'ìrèmòjé'?,option_5,,Orin tí a máa fi ń dárò olùkọ́,Orin tí a máa fi ń dárò àgbẹ̀,Orin tí a máa fi ń dárò ọmọdé,Orin tí a máa fi ń dárò ọlọ́jà,Orin tí a máa fi ń dárò ọdẹ,orin tí a máa fi ń dárò olùkọ́,0,20.208333333333332
185,"Lo àwọn ọ̀rọ̀ márùn yìí nínu gbólóhùn kan
 ""Fiséyìn, fiséyìn, fèýinti, èyìnodi, owó èyin.""",,,,,,,,"i apologize, but it seems like there is an issue with the information provided. the options are not visible. could you please provide the options again so that i can determine the best answer for your question?",0,20.208333333333332
186,"Parí òwe Yorùbá yìí
 ""mà fi oko mi dà ònà.......""",option_3,,kí ẹranko má bàá rìn,kí ilẹ̀ má bàá gbẹ,Ọjọ́ kan là á ko,kí òjò má bàá rọ̀,kí igi má bàá dàgbà,option_3,1,20.208333333333332
187,"Kíni òrò yorùbá fún ""Century""?",option_1,,Ọrúndún,Àwọn-ọdún,Ìgbà-àádọ́ta,Ìrọ́dún,Àdọ́ta-ọdún,option_5,0,20.208333333333332
188,"Kini ìtumò òrò Yorùbá yìí ""isọgbè""?",option_3,,Asọ̀rọ̀dùn,Olùtọ́jú,Aláàbárìn,Agbẹjọ́rò,Alágbàwí,option_3,1,20.208333333333332
189,"Parí òwe Yorùbá yìí
 ""Bi owó eku bá ṣe mó ..... """,option_2,,ọjà a di idàrúdàpọ̀,ló ṣe máa fi họra,ọgbà á di ahoro,aṣọ á di ẹlẹ́gbin,ọmọ á di aláìgbọràn,option_3,0,20.208333333333332
190,Kíni òrọ yorùbá fún 'Bomb'?,option_1,,Àdó-olóró,Ìjàǹbá,Ìparun,Ìdàrúdàpọ̀,Ìbẹ̀rù,option_4,0,20.208333333333332
191,"Tí àkùkò bá jẹ́ 'cock' tí àdìyẹ jẹ́ 'chicken', kíni 'chick' Ní Yorùbá?",option_5,,Ẹyẹ-wẹ́wẹ́,Ọmọwẹ́wẹ́,Ọmọfunfun,Ọmọ-ẹyẹ,Òròmadìye,option_5,1,20.208333333333332
192,"Parí òwe yìí: 
 'Àgbàtán là ń gba òlé, bí a dáso fún òlé à pa láro...'","Bí a bá la ọ̀le níjà, àá sín délé",,"bí a bá la ọ̀le níjà, àá sín délé",a gbé sínú omi,a fi ṣe aṣọ̀,a fi kọ́lé,a di òkúta,option_6,0,20.208333333333332
193,"Parí òwe yìí:
 'àgbà tó fi arúgbó ara kó ìlù....'",Omele ni wọ́n máa ń sán kú,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́,option_4,0,20.208333333333332
194,"Kíni òrò Yorùbá fún ""pilfering""?",option_3,,Ìyàsọ́tọ̀,Ìgbàgbé,Àfọ́wọ́rá/Fẹ́wọ́,Ìrìnkiri,Ìyípadà,"i'm sorry, but you haven't provided the actual question that needs an answer. could you please provide the question you need analyzed and answered?",0,20.208333333333332
195,"Kíni Yorùbá n pè èranko yìí ""tree hyrax""?",option_5,,Ẹkùn-igi,Ọ̀bọ,Ẹfọ̀n,Adán-igi,Ọ̀fàfà,option_2,0,20.208333333333332
196,Kíni Yorùbá pè ní èbìrìpò?,Oúnje ilẹ̀ Yorùbá,,Oúnje,Àṣọ,Ohun èlò,Èso,Ìyẹ̀fun,"i'm sorry, but your question is incomplete or unclear regarding what needs to be determined. could you please provide more context or clarify what you are asking for?",0,20.208333333333332
197,"Parí òwe yìí
 ""Dátóró dàtòrò dátóró""",option_2,,níí mú ìjà wá,"Àgbà tí ò bá dátọ́rọ́, omi ọbè láá mu",kò mú èrè wá,.ń ṣe ìpalára fún ara rẹ̀,kò mú ayọ̀ wá,the correct answer is 'kò mú èrè wá',0,20.208333333333332
198,"Parí òwe yìí
 ""akíì Fura sí ẹni à ń bá rìn""",option_4,,nígbà tí ó di ọ̀tá,títí a ó fi ṣe àṣìṣe,kí a tó rí ìwà rẹ̀,ẹni a fura sí ló gba ká yẹra,kí a tó rí ìdí rẹ̀,option_5,0,20.208333333333332
199,"Kíni Yorùbá n pè
 ""animal shell""?",option_5,,Ìrànwọ́,Ìbòrí,Ìtọ́jú,Ìkàwé,Ìkarahun,option_5,1,20.208333333333332
200,Àwọn wo ni Yorùbá ń pè ní Agbefọba,Agbófinró,,olùkọ́,onísẹ̀gùn,agbófinró,akọrin,ayàwòrán,"the correct option is determined by the context or profession mentioned in the question. however, based on a general understanding of yoruba terms:
- ""olùkọ́"" means teacher,
- ""onísẹ̀gùn"" means herbalist or traditional healer,
- ""agbófinró"" means policeman or law enforcement officer,
- ""akọrin"" means singer,
- ""ayàwòrán"" means photographer or artist.

without a specific question, we can't select the best option accurately. please provide the context for a precise answer",0,20.208333333333332
201,"Parí òwe yìí.""
 ""àìsàn là ń wò......",option_2,,kí a má baà kú,ẹnìkan ò rí tọlọ́jọ́ ṣe,kí ara lè yá,kí a lè ṣiṣẹ́,kí a lè jẹun,option_3,0,20.208333333333332
202,Parí òwe yìí 'ẹjọ́ a fẹnì lóbinrin là ńwí...',option_3,,kí a má baà rí ìbínú,kí a má baà rí ìjà,A kìí wíjọ́ afẹ́nilọ́mọ,kí a lè rí àlàáfíà,kí a lè rí ìlera,option_3,1,20.208333333333332
203,Kíni ìtumò òrò Yorùbá yìí: 'Èkó èlèkò ní ègbà èlégbà?',option_2,,"Ǹkan tí o bá sọ, ènìyàn lè gbà á","Ǹkan tí ìwọ bá kọ́, ẹlòmíràn lè gbàá","Ǹkan tí o bá ṣe, ènìyàn lè gbà á","Ǹkan tí o bá rò, ènìyàn lè gbà á","Ǹkan tí o bá kọ, ènìyàn lè gbà á",option_2,1,20.208333333333332
204,Parí òwe yìí 'ti aáyán bá sí ìjọ́ jó...',option_3,,ọ̀pọ̀lọpọ̀ ìṣòro yóò wáyé,gbogbo ènìyàn yóò sá,Ó máa farakásá adìyẹ,ìdàrúdàpọ̀ yóò dé,ìpayà yóò kún ibẹ̀,option_4,0,20.208333333333332
205,Tí Yorùbá bá fi ènìyàn wé 'eye Ìbáká' irú ènìyàn wo ni ènìyàn náà jẹ?,option_1,,Elẹ́jọ́wẹ́wẹ́,Oníṣekúṣe,Aláìgbọ́ràn,Oníwàburúkú,Aṣiwèrè,option_2,0,20.208333333333332
207,"Atulé má dè yìn, ní túlé kan aáyán funfun.
 Kí ni Yorùbá n pè ní ""aáyán funfun""?",option_4,,Òkú aáyán,Òkú ẹran,Òkú òru,Òku ẹ̣̀nìyàn,Òkú òkúta,option_3,0,20.208333333333332
208,Kíni 'music album' ni Yoruba?,option_5,,Ẹ̀ka Orin,Ìwé Orin,Ilé Orin,Àpótí orin,Àwo orin,option_5,1,20.208333333333332
209,"Pari Òwe yìí: Akòtàgìrì ẹjọ, àgbà tí ó rí ẹjọ tí kò sá,..........",option_1,,Ara ikù ló ń ya,àwọn àlejò l'o n wá,o n pe wahala wá,o n se àṣìṣe nlá,o n wa àwàdà,option_3,0,20.208333333333332
210,"Kíni Yorùbá n pè ní ""Fence""?",option_5,,Ìdàbòbò-ilé,ààlà,ọ̀nà,Ààbò,Odi,option_4,0,20.208333333333332
211,Iru Àwọn wo ni a ma n pè tàbí sọ ní 'máàlà olú'?,option_1,,Àwọn Ọlọ́bàtálá,Àwọn Ọlọ́ṣun,Àwọn Ọlọ́fín,Olódùmarè,Àwọn ọmọdé,option_3,0,20.208333333333332
212,"Igbó ọ̀rà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 'kíni àkòrí orúkọ ọba ìlú igbó ọ̀rà'",option_5,,Adé,Ọba,Ìmọ̀,,Olú,"the question is incomplete as it does not specify the context or provide adequate information about what is being asked. therefore, without additional context or a specific question, it is not possible to determine the correct option",0,20.208333333333332
213,Kíni àkólé ọba ìlú Ìbàdàn?,Olúbàdàn ti ìlú Ìbàdàn,,Ṣẹ́gunadé,Olúyọ̀lé,Òṣemàwé,Olúbàdàn,Adéṣinà,option_4,0,20.208333333333332
214,Tani Yorùbá gbàgbó pé ó jẹ̀ bàbá Yorùbá?,option_2,,Ọ̀ṣun,Odùduwà,Àgbọ́nmìrégún,Ọ̀rànmíyàn,Ṣàngó,option_3,0,20.208333333333332
215,Fi àmín sí orọ̀ yìí “Aimoore”,option_4,,Àímọ́ọ̀rẹ́,Aimọ̀ọ́rẹ,Àímọ́òrè,Àìmoore,Aìmòòrè,option_1,0,20.208333333333332
216,"Kíni ""Airport"" ní Yorùbá?",option_1,,Pápákò òfurufú,Ilé Ìjókòó Òfurufú,Ibi Ìdúró Ọkọ̀ Òfurufú,Ọjà òfurufú,Ibi-ìsinmi òfurufú,option_2,0,20.208333333333332
217,"Kíni ""Air Conditioner"" ní Yorùbá?",option_3,,Afẹ́fẹ́ Ìtùnú,Ẹ̀rọ Ìtura,Ẹ̀rọ Amúlétutù,Ẹ̀rọ Afẹ́fẹ́,Afẹ́fẹ́ Ìtura,option_5,0,20.208333333333332
218,"Kíni ""Turkey"" ní Yorùbá?",option_3,,Ẹyẹ Eléso,Ẹyẹ Àjèjì,Tòlótòló,Adìyẹ Ọ̀yìnbo,Ẹyẹ Onírun,option_3,1,20.208333333333332
219,"Kíni ""Chameleon"" ní Yorùbá?",option_2,,Òjòlá,Ọ̀gà,Ìgbín,Agbọ̀nrin,Ẹ̀yẹ́,"i'm sorry, but your question appears to be incomplete. could you please provide the full question for accurate analysis and response?",0,20.208333333333332
220,"Kíni ""Soft Drink"" ní Yorùbá?",option_5,,Omi,Ohun mímu,Omi tutu,Omi gbígbóná,Ọtí Ẹlẹ́rìndodò,option_1,0,20.208333333333332
221,"Kíni ""Generator"" ní Yorùbá?",option_3,,Ẹ̀rọ Amúṣíṣẹ́,Ẹ̀rọ Ìmúṣẹwá,Ẹ̀ro Amúnáwá,Ẹ̀rọ̀ Afẹ́fẹ́,Ẹ̀rọ̀ ikọ̀kọ̀,option_4,0,20.208333333333332
222,"Kíni ""Negotiation"" ní Yorùbá?",option_1,,Ìdúnádúrà,Ìjíròrò Ọjà,Ìpàdé Ìmọ̀ràn,Ìdánilẹ́kọ̀ọ́ Ìṣòwò,Ìjíròrò,option_3,0,20.208333333333332
223,"Sàlàyé òwe yì: 
 A kìí fi ẹ̀jẹ̀ sínú kí á tu itọ́ funfun jade.",Ótúmò sí pé ohun tí ènìyàn bá ní sínú ló máa sọ jáde,,Ohun tí ènìyàn bá gbìn ló máa kórè,Ohun tí ènìyàn bá fẹ́ ló máa tọ́ka sí,Ohun tí ènìyàn bá ṣe sílẹ̀ ló máa rí,Ohun tí ènìyàn bá ní sínú ló máa sọ jáde,Ohun tí ènìyàn bá kọ́ ló máa mọ̀,option_3,0,20.208333333333332
224,"Sàlàyé òwe yì: 
 ""Nítorí adití ni ojó se ńsú, nítorí afọjú ni ó ṣe ńkù.""
 What are they trying to say?","Àpẹre wà fún ohun gbogbo, tí ó bá ti gbọ́, o ṣáa máa ri",,,,,,,"i'm sorry, but it seems that the options for the question were not included in your message. could you provide the options so i can analyze and determine the best answer?",0,20.208333333333332
225,"""Sàlàyé òwe yì: 
 Eni to ba mo idi oran tele ni n bu abuja eke",,,,,,,,"i'm sorry, i can't determine the best answer without knowing the question and options given. could you please provide the question and the options for analysis?",0,20.208333333333332
226,"Pari Òwe yìí: ""Àrùn tí ńṣe Ogójì ní ńṣe Odunrun""",option_2,,ní ńṣe Ọ̀kànlélọ́gọ́ta,"Ohun tó bá ṣe Abọ́yadé, gbogbo ọlọ́ya ló ń ṣe","Ohun tó bá ṣe Adéọlá, gbogbo ọmọdé ló ń ṣe","Ohun tó bá ṣe Bọ́lá, gbogbo ìdílé ló ń ṣe","Ohun tó bá ṣe Ọmọ́lá, gbogbo ọmọ ìlú ló ń ṣe","ohun tó bá ṣe ọmọ́lá, gbogbo ọmọ ìlú ló ń ṣe",0,20.208333333333332
227,"Parí òwe yìí: 
 ""A kìí bọ́ sọ́mí tán...""",option_1,,Kí á máa kígbe òtútù,kí á má rí ẹja jẹ,kí á má rí ìyàwó fẹ́,kí á má rí ilé kọ́,kí á má rí ọjà tà,option_3,0,20.208333333333332
228,"Kíni ìtumọ̀ òwe Yorùbá yìí:
 Apàtẹ́wọ̀ fún wèrè jó, ohùn àti wèrè ọ̀gba",option_3,,"Ẹni tó bá gbà wèrè níyànjú, àwọn méjèèjì á ṣìnà","Ẹni tó bá ń tẹ́wọ́ gbà wèrè, òun náà ti di wèrè",Ǹkànkan ni wèrè àti ẹni tí óhún pàtéwọ́ fún wèrè,"Bí a bá ń yìn wèrè, yóò máa ṣe ohun tí kò tọ́","Bí a bá ń gbé wèrè ga, yóò máa ṣe ìwà àìtọ́",option_3,1,20.208333333333332
229,"Kíni ìtumọ̀ òwe Yorùbá yìí:
 A kì í dá ẹrù ikùn pá orí.",option_5,,A kì í fi òkúta tẹ́ ilẹ̀,A kì í fi ọwọ́ òsì gbá oúnjẹ,A kò lè gbé ẹrù ọmọ sórí kí a gbàgbé tiwa,A kì í fi irin gbẹ́ igi,A kò lè gbé ẹrù ẹlẹ́rù sórí kí á fa tiwa sọ́wọ́,option_4,0,20.208333333333332
230,"Kíni ìtumọ̀ òwe Yorùbá yìí:
 A kìí du orí olórí káwòdì gbé t’eni lọ.",option_1,,Ti ara ẹni làá kọ́kọ́ jà fún kótódi torí olórí,"A kìí fẹ́ orí ẹlòmíràn, torí tìẹ lè sọnù","""A kìí gbà orí ẹlòmíràn, torí àwòdì kìí gbà tìẹ",A kìí bá ẹni tó lágbára díje,A kìí sọ̀rọ̀ ibi sí ẹni tó ju ẹni lọ,option_2,0,20.208333333333332
231,"Kíni ""Thumb"" ní Yorùbá?",option_5,,Àtúnṣeṣe,Àkójọpọ̀,Àṣeyọrí,Àtẹ̀lẹ́sẹ̀,Àtàǹpàkò,option_4,0,20.208333333333332
232,"Kíni ""Mirror"" ní Yorùbá?",option_3,,Ìdúró,Ìdánilẹ́kọ̀ọ́,Dígí,Ìrànlọ́wọ́,Ìwòsàn,"as the question and options lack context, i'd need to determine which option is most likely the answer based on typical yoruba language usage. however, since the question itself isn't provided, drawing an accurate conclusion is challenging. if more context were provided, such as a sentence or particular subject matter, i could provide a precise answer. without any specific details, here is an evaluation based on typical meanings:

- ìdúró: refers to 'standing' or 'stoppage'
- ìdánilẹ́kọ̀ọ́: means 'lecture' or 'instruction'
- dígí: translates to 'mirror'
- ìrànlọ́wọ́: denotes 'assistance' or 'help'
- ìwòsàn: means 'healing' or 'treatment'

therefore, reflecting on typical context or usage, i would need more information to determine the best option",0,20.208333333333332
233,"Kíni ""Sweet Potato"" ní Yorùbá?",option_2,,Ẹ̀wà ilẹ̀,Ànàmọ́,Kókó pupa,Ìṣu àdùn,Èsúrú dídùn,option_4,0,20.208333333333332
234,"Kíni ""Microphone"" ní Yorùbá?",option_3,,Agbé-ohùn,Agbọ́rọ̀-ẹnu,Gbohùngbohùn,Ìgbà-ẹnu,Ìmú-ọ̀rọ̀,option_1,0,20.208333333333332
235,"Kíni ""Glasses"" ní Yorùbá?",option_3,,Ìgbín,Àga,Jígí/Ìgò-ojú,Àpáta,Òkúta,option_1,0,20.208333333333332
236,"Kíni ""Subsidy"" ní Yorùbá?",option_4,,Ìdínkù Owó,Ìrànlọ́wọ́ Ọ̀fẹ́,Àfikún Ọrọ̀,Owó ìrànwọ́,Èbùn Ìjọba,option_4,1,20.208333333333332
237,"Kíni ""Law Enforcer"" ní Yorùbá?",option_1,,Agbófinró,Olùgbéjà Òfin,Agbẹ́jọ́ Òfin,Akọ́nilẹ́kọ̀ọ́ Òfin,Olùtọ́jú Òfin,option_3,0,20.208333333333332
238,Kíni ìtúmọ̀ Balógun?,option_4,,Alágbára,Ológun,Akọ́ni,Baba lójú ogun -–Olórí ogun,Oníjà,option_4,1,20.208333333333332
239,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Bode pade""",option_3,,Gbígba ìdánilẹ́kọ̀ọ́ láti ọ̀dọ̀ ẹnìkan,Ṣíṣe àdéhùn pẹ̀lú ènìyàn,Rírí tajé ṣe,Jíjẹun pẹ̀lú ènìyàn,Ṣíṣe ìbẹ̀wò sí ilé ẹnìkan,option_2,0,20.208333333333332
240,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ponmi si ajadi apere""",option_2,,Gbẹ́ igi sí àpótí aláṣọ,Ṣíṣe àṣedànù,ọ́ oògùn sí ìgò òkúta,Dá oúnjẹ sí àpótí ẹja,Gbé òkúta sí àpótí aṣọ,option_1,0,20.208333333333332
241,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi enu ko""",option_1,,Ṣíṣi ọ̀rọ̀ sọ,Fi ẹnu rẹ ṣọ̀,Fi ẹnu rẹ gbà,Fi ẹnu rẹ sọ̀,Fi ẹnu rẹ jó,option_4,0,20.208333333333332
242,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fimu finle""",option_4,,Ṣíṣe ìdánilẹ́kùn,Ṣíṣe ìpalẹ̀mọ́,Ṣíṣe ìyàsọ́tọ̀,Ṣíṣe ọfíntótó,Ṣíṣe ìdàrúdàpọ̀,option_2,0,20.208333333333332
243,"Kíni ""Procastination"" ní Yorùbá?",option_3,,ìgbàgbé,ìdálọ́wọ́dúró,Fènídọ́la,ìyàsọ́tọ̀,ìdúró ṣinṣin,"íwọ̀nboṣé ọ̀tọ̀ ni ṣòro ní ìpinnu nnkan kan tí ó tọ́, bíi báyìí:
options: ìgbàgbé, ìdálọ́wọ́dúró, fènídọ́la, ìyàsọ́tọ̀, ìdúró ṣinṣin.

yoruba: ""what is the meaning of 'determination'?""

correct answer: option_5",0,20.208333333333332
244,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Juba ehoro""",option_1,,Sálọ,Gbígbé ìgbésẹ̀ aláìlérè,Wíwá ohun tí kò ṣeé rí,Ṣíṣe iṣẹ́ lásán,Lílò àkókò ní asán,option_5,0,20.208333333333332
245,"Kíni ""Eleven thousand"" ní Yorùbá?",option_2,,Ẹgbẹ̀rún Mẹ́wàá,Ẹgbẹ̀rún Mọ́kànlá,Ẹgbẹ̀rún Méjìlá,Ẹgbẹ̀rún Mẹ́rìnlá,Ẹgbẹ̀rún Mẹ́rìndínlógún,option_5,0,20.208333333333332
246,"Parí òwe yìí: Àfọ̀mọ́ ńṣe ara è,...",option_4,,kí ó tó di àrùn,kí ó tó di ìjà,kí ó tó di ìpalára,Óní òhun ń ṣe igi,kí ó tó di ìyà,option_3,0,20.208333333333332
247,"Sàlàyé òwe yì: 
 A ń gba ọ̀ròmọ adìyẹ lọ́wọ́ ikú, òní wọn ò jẹ́ kí ohùn re àkìtán lọ jẹ.",option_1,,Ọmọdé ò mọ̀ pé àgbàlagbà ń gba òhun lọ́wọ́ ohun tí ó lè pa òhun lára,"A ń gba ewúré lọ́wó́ igbó, òní wọn ò jẹ́ kí ohùn re ọjà lọ jẹ.","A ń gba òkúta lọ́wọ́ ilẹ̀, òní wọn ò jẹ́ kí ohùn re àgbàlá lọ jẹ.",Àgbàlagbà ń sọ fún ọ̀dọ́ pé àwọn ń dá òhun dúró níbi tí òhun fé lò,Ọ̀rẹ́ ń sọ fún ọ̀rẹ́ pé àwọn ń gbàá lọ́wọ́ ìṣòrò,option_4,0,20.208333333333332
248,"Sàlàyé òwe yì: 
 Afẹ́fẹ́ ńda ológi láámu; oníyẹ̀fun má ja’fira",option_4,,"Ẹ̀yẹ́ ńkọrin nínú igi, oníṣẹ́ irin má ṣe ìkùnsínú","Àgbẹ̀ ńṣe iṣẹ́ ilẹ̀, oníṣẹ́ ọjà má ṣe ìjà","Òjò ńrọ̀ lórí òkè, oníṣẹ́ aṣọ má ṣe ìbẹ̀rù","Bí afẹ́fẹ́ bá lè da ògì sọnù, oníyẹ̀fun nílò látìi múra gidigidi","Omi ńṣàn nínú odò, oníṣẹ́ àwòrán má ṣe ìwọ̀sí",ẹ̀ jọ̀wọ́ ṣàlàyé ìbéèrè náà dáadáa kí n lè fún ọ ní ìdáhùn tó tọ́. èwo nínú àwọn àṣàyàn tí ìwọ nínú rẹ̀ ni ó han gégé bí òfin ìbéèrè náà,0,20.208333333333332
249,Parí òwe yìí: 'A fasẹ̀ gbèjò ...,option_3,,ó di àṣẹ́,ó di ìbínú,Ó ń tan ara rè je,Ó ń ṣòro fún ara rẹ̀,Ó ń ṣẹ ara rẹ̀ níbi,option_5,0,20.208333333333332
250,"Kíni ""Local Government"" ní Yorùbá?",option_1,,Ìjọba ìbílẹ̀,Ìjọba Àdúgbò,Ẹ̀ka Ìṣèjọba,Ẹ̀ka Ìṣàkóso,Ìgbìmọ̀ Ìṣàkóso,option_1,1,20.208333333333332
251,"Àrìngbèrè ni yó múú oyè délé; asárétété ò róyè jẹ.""
 Kíni ìtúmọ̀ òwe yìí?",option_5,,Ìjà kọ́ lowó,Ìtan kọ́ lowó,Ìyà kọ́ lowó,Òwò kọ́ lowó,Kí á máa sáré jù. Iṣẹ́ kọ́ lowó,option_3,0,20.208333333333332
252,"Àpà èèyàn ò mọ pé ohùn tó pọ̀ lé tán.""
 Kíni ìtúmọ̀ òwe yìí?",option_3,,Ìwọ̀fà èèyàn ò mọ pé owó tó pọ̀ lé tán,Ọ̀lẹ́ èèyàn ò mọ pé iṣẹ́ tó pọ̀ lé tán,"Kòsi bí owó ṣe pọ̀ tó, yíò tán lọ́jọ́kan",Òpònù èèyàn ò mọ pé ọ̀rọ̀ tó pọ̀ lé tán,Ìgbéraga èèyàn ò mọ pé iyìn tó pọ̀ lé tán,option_3,1,20.208333333333332
253,"Jọmíjọmí òkú ọ̀rọ̀ níí sọníí dà
 Kíni ìtúmọ̀ òwe yìí?",option_4,,Ìwà burúkú tí a bá hù yoó mú ìbànújẹ́ wá,"Àṣírí tí ó bá pé jù, ó máa ń mú ìjà wá","Ìwàkíwà tí a bá hù, yoó mú ìyà wá",Ìkà ni ẹni tí ó fẹ́ kí gbogbo ènìyàn jọ òhun,"Ọ̀rọ̀ tí a bá sọ́ láìronú, yoó di ìjà",option_3,0,20.208333333333332
254,"Ìwọ̀n ni ẹni tí ó gun ẹlédè ńyọ̀ mọ́; ẹni tí ó gun ẹsin pàápàá ilé ló ń bò.""
 Kíni ìtúmọ̀ òwe yìí?",option_1,,Kí a máa ní ìgbéraga,Kí a máa fi sùúrù gbé ìgbésí ayé,Kí a máa fi ọ̀wọ̀ bá àwọn ènìyàn lò,Kí a máa fi ìrẹ̀lẹ̀ ṣe ìwà rere,Kí a máa fi ìfọkànsìn ṣe iṣẹ́,option_4,0,20.208333333333332
255,"Kíni ""Palm"" ní Yorùbá?",option_3,,Ọ̀wọ́,Ìrọ̀rùn,Atẹlẹwọ́,Ẹ̀ka,Àṣẹ,please provide the actual question you want analyzed so i can determine the best answer for you,0,20.208333333333332
256,"Kíni ""Ostrich"" ní Yorùbá?",option_2,,Ẹ̀yẹ́ àgbàrà,Ògòǹgò,Àdàbà,Ẹ̀yẹ́ odò,Ẹ̀yẹ́ òkun,option_3,0,20.208333333333332
257,"Kíni ""Text Message"" ní Yorùbá?",option_1,,Àtẹ̀jíṣé,Lẹ́tà,Ìròhìn,Àwọn ọ̀rọ̀ kíkọ́,Ìránṣẹ́,option_2,0,20.208333333333332
258,"Kíni ""Video"" ní Yorùbá?",option_4,,Ìfihàn,Ìtàn-ojú,Àwòrán,Fọ́rọ́n,Ìṣẹ̀lẹ̀-ojú,option_3,0,20.208333333333332
259,"Kíni ""Perform well"" ní Yorùbá?",option_5,,Ṣe eré dáadáa,Kọrin dáadáa,Kọ lẹ́tà dáadáa,Rìn dáadáa,Fakọyọ,kọ lẹ́tà dáadáa,0,20.208333333333332
260,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbo agboya""?",option_1,,Gbọ́ ǹkan lódì,Gbọ́ ìròyìn,Gbọ́ ìkéde ìbànújẹ́,Gbọ́ ìkìlọ̀,Gbọ́ ìdájọ́ òdì,option_5,0,20.208333333333332
261,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbe ayan mi""?",option_1,,Lóyún,Gbọ́ ǹkan lódì,Ṣe ọ̀ṣọ́,Ṣàárè,Ìbínú,option_5,0,20.208333333333332
262,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eti keta""?",option_3,,Àṣírí igbó,Òkúta àbẹ́lẹ̀,Ará ìta,Ìlérí òkùnkùn,Àwòrán òfurufú,option_4,0,20.208333333333332
263,"Sàlàyé òwe yì:
 Wọ́n ní, ""Afọjú, o ò tanná alẹ́"" ó ní àtọ̀sán àtọ̀ru, èwo lóún rí níbẹ?",option_5,,"Àwá lè rò pé àfọ́jú mò ìtànná òrú, ṣùgbọn kò mò ìtànná ọ̀sán","Àwá lè rò pé àfọ́jú lè dáná, ṣùgbọ́n àṣìṣe ni","Àwá lè sọ fún àfọ́jú nípá ìmọ́lẹ̀, ṣùgbọn kò ní rí i","Àwá lè bèèrè lọ́wọ́ àfọ́jú nípá ìtànná, ṣùgbọ́n kò ní yé wa",Kò mọ́pọlọ wá lati sọ fún afọ́jú pé kí ó taná yálà ní àárò tàbí lálẹ́,option_3,0,20.208333333333332
264,"Sàlàyé òwe yì:
 Àjànàkú kúró l’ẹ́ràn à ń gọ̀ dé",option_4,,Ẹkùn ńlá ju ẹran tí a máa sá fún,"Ẹfọ̀n ńlá ni a ń sá fún, kìí ṣe ekú",Ẹfọ̀n ńlá ju ẹran tí a máa fọwọ́ gbá lọ,Erin tóbi ju ẹranko tí a máa farapamọ́ fún,Ẹkùn ńlá ju ẹran tí a máa jẹ lọ,option_2,0,20.208333333333332
265,"Kíni ""Health"" ní Yorùbá?",option_3,,Ìṣẹ̀ṣe,Ìdùnnú,Ìlera,Àlááfíà,Ìgbádùn,ìṣẹ̀ṣe,0,20.208333333333332
266,"Kíni ""Knee"" ní Yorùbá?",option_1,,Orókún,Ìdí,Àtẹ́lẹ́sẹ̀,Iṣan,Ọ̀pá,option_3,0,20.208333333333332
267,"Kíni ""Plate"" ní Yorùbá?",option_3,,Òkúta,Àpótí,Abọ́,Igi,Ilẹ̀,option_3,1,20.208333333333332
268,"Kíni ""Earring"" ní Yorùbá?",option_4,,Ọ̀ṣọ́,Ìràwọ̀ etí,Ìlẹ̀kẹ̀,Yẹtí,Òdòdó,option_3,0,20.208333333333332
269,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Oba waja""",option_1,,Ọba ti kú,Ọba ti sùn,Ọba ti lọ́,Ọba ti sọ̀rọ̀,Ọba ti dúró,option_2,0,20.208333333333332
270,"Kíni ""500"" ní Yorùbá?",option_5,,Ẹ̀ẹ́dẹ́gbẹ̀wá,Ẹ̀ẹ́dẹ́gbẹ̀jọ,Ẹ̀ẹ́dẹ́gbẹ̀sàn,Ẹ̀ẹ́dẹ́gbẹ̀rin,Ẹ̀ẹ́dẹ́gbẹ̀ta,ẹ̀ẹ́dẹ́gbẹ̀rin,0,20.208333333333332
